Name,Annotation status,Pseudechinus magellanicus,Tegula patagonica,Leucippa pentagona,Arbacia dufresnii,Patagonotothen,Pez,Clinidio,Helcogrammoides cunninghami,Nauticaris,Camaron,Pilumnoides hassleri,Pachycheles chubutensis,Collodes rostratus,Doris fontainii,Diaulula punctuolata,Allostichaster capensis,Polycera marplatensis,"
Fissurella patagonica",Phrikoceros mopsus,Cosmasterias lurida,Sebastes oculatus,Trapania,Cycethra verrucosa,Pleurobranchaea maculata,Congiopodus peruvianus,Ohioplocus januarii,Odontaster penicillatus,Calliostoma,Lamellaria,Berthella,Trophon geversianus,Fissurella radiosa,Anasterias minuta,Geitodoris patagonica,Quiton,Tyrinna delicata,Epitonium,Aeolidiella,Cirratulidae,Notas
IMG_0001_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0002_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0003_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0004_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0005_C2.jpg,confirmed,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0006_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0007_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0008_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0009_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0010_C2.jpg,confirmed,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0011_C2.jpg,confirmed,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0012_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0013_C2.jpg,confirmed,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0014_C2.jpg,confirmed,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0015_C2.jpg,confirmed,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0016_C2.jpg,confirmed,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,point 82 fish
IMG_0017_C2.jpg,confirmed,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0018_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0019_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0020_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0021_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0022_C2.jpg,confirmed,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0023_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0024_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0025_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0026_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0027_C2.jpg,confirmed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
IMG_0029_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0030_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0031_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0032_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0033_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0034_C2.jpg,confirmed,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0035_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0036_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0037_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0038_C2.jpg,confirmed,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0039_C2.jpg,confirmed,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0040_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0041_C2.jpg,confirmed,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0042_C2.jpg,confirmed,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0043_C2.jpg,confirmed,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0044_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0045_C2.jpg,confirmed,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0046_C2.jpg,confirmed,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0047_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0048_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0049_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0050_C2.jpg,confirmed,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0051_C2.jpg,confirmed,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0052_C2.jpg,confirmed,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0053_C2.jpg,confirmed,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0054_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0055_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0056_C2.jpg,confirmed,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0057_C2.jpg,confirmed,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0058_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0059_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0060_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0061_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0062_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0063_C2.jpg,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_0064_C2.jpg,confirmed,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
