"Name","Date","DataSet","region","site","reef name","reef area","understory","Height (cm)","Latitude","Longitude","Depth","Camera","Photographer","Water quality","Strobes","Framing gear used","White balance card","Comments","Row","Column","Label","Annotator","Date annotated","Machine suggestion 1","Machine confidence 1","Machine suggestion 2","Machine confidence 2","Machine suggestion 3","Machine confidence 3","Machine suggestion 4","Machine confidence 4","Machine suggestion 5","Machine confidence 5"
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",121,120,"FILA","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",121,362,"FILA","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",121,604,"FILA","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",121,846,"D.dichotom","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",121,1088,"D.dichotom","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",121,1330,"FILA","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",121,1572,"FILA","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",121,1814,"FILA","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",121,2056,"FILA","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",121,2298,"FILA","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",365,120,"FILA","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",365,362,"FILA","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",365,604,"FILA","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG_0430_C2.jpg",2019-09-18,"T1","GolfoNuevo","Bahia Piramides","Derby","vertical","no",45,-42.59191903,-64.30690058,"medium","Canon EOS REBEL SL1","Gonzalo Bravo","good","two","25x25cm","yes","Capitulo 2",365,846,"D.dichotom","Imported",2023-08-11 00:20:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
